FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,98482,25:17.5,,,9820,-67.67,-86.32,-11.04,8.78,359
10000000,98483,25:18.7,,,9820,-69.24,-87.18,-9.6,10.24,359
10000000,98484,25:19.2,,,9820,-71.1,-87.11,-10.5,9.2,359
10000000,98485,25:19.7,,,9820,-65.2,-86.72,-11.48,8.84,359
10000000,98486,25:20.2,,,9820,-62.18,-85.79,-13.41,11.02,359
10000000,98487,25:20.7,,,9820,-63.66,-85.36,-11.66,9.66,359
10000000,98488,25:21.2,,,9820,-62.09,-84.92,-12.62,9.12,359
10000000,98489,25:21.7,,,9820,-65.64,-85.08,-10.64,10.58,359
10000000,98490,25:22.2,,,9820,-63.25,-84.77,-12.44,8.27,359
10000000,98491,25:22.7,,,9820,-64,-84.96,-12.13,12.22,359
10000000,98492,25:23.2,,,9820,-65.1,-84.79,-11.09,10.56,359
10000000,98493,25:23.7,,,9820,-61.86,-84.58,-12.12,9.48,359
10000000,98494,25:24.2,,,9820,-65.13,-84.23,-10.4,14.2,359
10000000,98495,25:24.7,,,9820,-60.56,-84.5,-12.74,13.14,359
10000000,98496,25:25.2,,,9820,-65.63,-84.74,-10.24,12.25,359
10000000,98497,25:25.7,,,9820,-64.93,-85.13,-10.9,12.14,359
10000000,98498,25:26.2,,,9820,-66.04,-85.08,-10.58,13.15,359
10000000,98499,25:26.7,,,9820,-68.43,-84.79,-11.61,13.84,359
10000000,98500,25:27.2,,,9820,-64.8,-84.6,-10.79,11.61,359
10000000,98501,25:27.7,,,9820,-62.71,-86.21,-13.26,11.44,359
10000000,98502,25:28.2,,,9820,-62.77,-86.8,-12.13,10.35,359
10000000,98503,25:28.7,,,9820,-63.95,-87.3,-13.72,11.76,359
10000000,98504,25:29.2,,,9820,-65.15,-86.77,-11.05,11.44,359
10000000,98505,25:29.7,,,9820,-66.17,-87.69,-11.81,9.53,359
10000000,98506,25:30.2,,,9820,-67.18,-88.28,-13.06,9.62,359
10000000,98507,25:30.7,,,9820,-69.82,-89.67,-12.14,6.51,359
10000000,98508,25:31.2,,,9820,-69.57,-93.33,-13.81,2.15,359
