FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,4311,25:15.6,,,900,-69.88,-88.72,-10.44,6.36,449
10000000,4312,6/11/2024 8:25,,,900,-70.79,-88.57,-10.57,7.74,449
10000000,4313,25:18.9,,,900,-70.03,-88.68,-10.42,7.81,449
10000000,4314,25:19.4,,,900,-69.88,-88.46,-9.99,7.15,449
10000000,4315,25:19.9,,,900,-68.79,-89.23,-10.85,6.15,449
10000000,4316,25:20.4,,,900,-68.62,-89.4,-10.62,7.45,449
10000000,4317,25:20.9,,,900,-71.71,-89.5,-11.7,8.18,449
10000000,4318,25:21.4,,,900,-70.77,-89.3,-10.77,7,449
10000000,4319,25:21.9,,,900,-71.54,-89.41,-10.98,4.56,449
10000000,4320,25:22.4,,,900,-71.26,-89.38,-10.2,5.22,449
10000000,4321,25:22.9,,,900,-72.13,-89.78,-11.08,4.88,449
10000000,4322,25:23.4,,,900,-69.56,-89.44,-11.29,5.74,449
10000000,4323,25:23.9,,,900,-72.18,-89.45,-10.08,5.92,449
10000000,4324,25:24.4,,,900,-70.79,-89.54,-10.73,6.08,449
10000000,4325,25:24.9,,,900,-69.67,-89.64,-11.62,4.27,449
10000000,4326,25:25.4,,,900,-70.83,-89.62,-10.62,5.25,449
10000000,4327,25:25.9,,,900,-71.11,-89.18,-11.7,6.78,449
10000000,4328,25:26.4,,,900,-68.39,-89.24,-11.74,5.12,449
10000000,4329,25:26.9,,,900,-68.74,-90.28,-11.99,6.33,449
10000000,4330,25:27.4,,,900,-69.36,-90.64,-12.12,4.87,449
10000000,4331,25:27.9,,,900,-70.11,-90.2,-10.69,5.95,449
10000000,4332,25:28.4,,,900,-70.59,-89.56,-10.54,4.7,449
10000000,4333,25:28.9,,,900,-70,-89.45,-11.58,4.65,449
10000000,4334,25:29.4,,,900,-71.45,-89.68,-11.06,4.75,449
10000000,4335,25:29.9,,,900,-70.98,-89.95,-11.41,6.05,449
10000000,4336,25:30.4,,,900,-68.18,-89.65,-11.83,5.24,449
10000000,4337,25:30.9,,,900,-69.45,-90.79,-12.08,3.08,449
10000000,4338,25:31.4,,,900,-69.16,-90.06,-12.12,4.32,449
10000000,4339,25:31.9,,,900,-67.53,-88.79,-12.17,2.21,449
10000000,4340,25:32.4,,,900,-64.67,-90.7,-15.95,2.68,465
10000000,4341,25:32.9,,,900,-69.76,-92.51,-14.76,3.07,465
10000000,4342,25:33.4,,,900,-68.01,-92.45,-16.15,1.95,465
10000000,4343,25:33.9,,,900,-71,-94.89,-17.83,-1.49,465
10000000,4344,25:34.4,,,900,-65.96,-93.27,-17.69,-0.79,465
10000000,4345,25:34.9,,,900,-68.47,-91.37,-14.74,3.04,465
10000000,4346,25:35.4,,,900,-65.24,-93.5,-17.98,-0.17,465
10000000,4347,25:35.9,,,900,-67.09,-91.9,-15.42,1.85,465
10000000,4348,25:36.4,,,900,-66.47,-91.51,-14.69,4.22,465
10000000,4349,25:36.9,,,900,-67.98,-92.63,-15.41,-2.6,55
10000000,4350,25:37.4,,,900,-66.97,-92.68,-16.4,1.78,465
10000000,4351,25:37.9,,,900,-68.23,-92.99,-16.93,2.18,465
10000000,4352,25:38.4,,,900,-66.32,-93.7,-17.85,-0.56,465
10000000,4353,25:38.9,,,900,-67.97,-92.34,-14.98,1.49,465
10000000,4354,25:39.4,,,900,-67.52,-92.32,-15.89,1.39,465
10000000,4355,25:39.9,,,900,-67.04,-92.25,-15.47,2.82,465
10000000,4356,25:40.4,,,900,-67.55,-92.13,-16.22,2.56,465
10000000,4357,25:40.9,,,900,-66.53,-91.36,-15.96,2.15,465
10000000,4358,25:41.4,,,900,-67.39,-93.69,-15.49,1.14,465
10000000,4359,25:41.9,,,900,-74.97,-93.23,-13.54,1.64,465
10000000,4360,25:42.4,,,900,-63.66,-88.6,-16.19,-0.62,465
10000000,4361,25:42.9,,,900,-59.82,-81.98,-13.1,5.01,465
10000000,4362,25:43.4,,,900,-65.51,-84.6,-11.63,3.28,449
10000000,4363,25:43.9,,,900,-61.09,-84.05,-14.35,1.84,465
10000000,4364,25:44.4,,,900,-59.75,-84.46,-15.48,0.22,465
10000000,4365,25:44.9,,,900,-63.98,-93.13,-22.42,-8.93,465
10000000,4366,25:45.4,,,900,-66.26,-84.45,-11.99,0.78,449
10000000,4367,25:45.9,,,900,-69.33,-93.89,-17.29,-3.34,449
10000000,4368,25:46.4,,,900,-66.72,-87.18,-11.06,5.81,449
10000000,4369,25:46.9,,,900,-64.85,-85.82,-10.24,7.32,449
10000000,4370,25:47.4,,,900,-67.1,-89.46,-13.76,2.39,449
10000000,4371,25:47.9,,,900,-67.29,-89.4,-12.73,2.56,55
10000000,4372,25:48.4,,,900,-71.42,-91.8,-12.48,3.59,55
10000000,4373,25:48.9,,,900,-69.49,-91.85,-13.26,0.86,55
10000000,4374,25:49.4,,,900,-68.15,-89.74,-13.29,4.74,465
10000000,4375,25:49.9,,,900,-71.13,-90.68,-12.2,3.18,449
10000000,4376,25:50.4,,,900,-70.2,-90.07,-11.59,4.36,465
10000000,4377,25:50.9,,,900,-69.77,-89.09,-11.15,3.1,449
10000000,4378,25:51.4,,,900,-71.26,-89.44,-10.31,6.79,449
10000000,4379,25:51.9,,,900,-69.76,-92.1,-13.57,3.7,465
10000000,4380,25:52.4,,,900,-69.77,-93.21,-14.8,-1.89,55
10000000,4381,25:52.9,,,900,-69.43,-90.55,-11.72,3.61,449
10000000,4382,25:53.4,,,900,-68.43,-87.63,-11.98,5.5,465
10000000,4383,25:53.9,,,900,-78.03,-95.94,-11.53,5.65,465
10000000,4384,25:54.4,,,900,-72.77,-100.54,-17.75,-1.33,465
10000000,4385,25:54.9,,,900,-74.07,-96.89,-12.77,2.02,449
10000000,4386,25:55.4,,,900,-74.68,-96.08,-12.11,3.86,449
10000000,4387,25:55.9,,,900,-77.75,-99.12,-12.08,1.04,449
10000000,4388,25:56.4,,,900,-78.64,-99.9,-12.71,5.42,465
10000000,4389,25:56.9,,,900,-73.23,-95.76,-12.88,3.31,465
10000000,4390,25:57.4,,,900,-72.95,-102.42,-20.15,-2.29,55
10000000,4391,25:57.9,,,900,-75.99,-95.97,-12.73,2.16,465
10000000,4392,25:58.4,,,900,-73.34,-95.35,-12.69,1.1,449
10000000,4393,25:58.9,,,900,-70.93,-94.56,-16.17,3.71,465
10000000,4394,25:59.4,,,900,-70.78,-94.48,-13.46,6.52,465
10000000,4395,25:59.9,,,900,-77.49,-99.81,-13.49,0.76,55
10000000,4396,26:00.4,,,900,-75.72,-95.71,-13.04,5.36,465
10000000,4397,26:00.9,,,900,-69.8,-94.57,-15.13,-0.86,55
10000000,4398,26:01.4,,,900,-70.47,-91.33,-11.18,7.42,465
10000000,4399,26:01.9,,,900,-71.65,-92.81,-12.11,4.39,465
10000000,4400,26:02.4,,,900,-74.62,-97.57,-14.82,-1.45,55
10000000,4401,26:02.9,,,900,-71.84,-92.74,-12.38,7.6,465
10000000,4402,26:03.4,,,900,-76.2,-96.12,-12.24,3.42,55
10000000,4403,26:03.9,,,900,-72.29,-95.49,-14.07,1.6,465
10000000,4404,26:04.4,,,900,-69.65,-94.12,-14.55,5.26,55
10000000,4405,26:04.9,,,900,-74.78,-93.45,-12.64,6.73,465
10000000,4406,26:05.4,,,900,-74.43,-105.61,-21.32,-8.71,449
10000000,4407,26:05.9,,,900,-74.55,-100.91,-18.28,-5.25,449
10000000,4408,26:06.4,,,900,-71.7,-92.33,-11.56,5.31,465
10000000,4409,26:06.9,,,900,-71.11,-93.46,-13.29,5.15,465
10000000,4410,26:07.4,,,900,-73.52,-101.16,-17.05,0.92,465
10000000,4411,26:07.9,,,900,-75.6,-99.52,-14.51,0.13,465
10000000,4412,26:08.4,,,900,-71.97,-94.19,-13.61,6.72,465
10000000,4413,26:08.9,,,900,-72.28,-97.15,-15.44,3.3,465
10000000,4414,26:09.4,,,900,-72.41,-100.54,-17.41,0.5,465
10000000,4415,26:09.9,,,900,-74.36,-94.37,-12.57,4.48,465
10000000,4416,26:10.4,,,900,-78.2,-96.68,-10.84,4.74,55
10000000,4417,26:10.9,,,900,-74.49,-95.61,-12.73,2.6,465
10000000,4418,26:11.4,,,900,-70.98,-93.97,-14.48,4.83,465
10000000,4419,26:11.9,,,900,-76.44,-97.74,-12.89,0.95,449
10000000,4420,26:12.4,,,900,-75.6,-96.8,-12.64,2.62,465
10000000,4421,26:12.9,,,900,-74.75,-97.21,-12.31,5.11,465
10000000,4422,26:13.4,,,900,-77.88,-99.04,-12.96,2.75,465
10000000,4423,26:13.9,,,900,-83,-100.23,-11.46,3.27,55
10000000,4424,26:14.4,,,900,-84.09,-100.25,-10.73,5.6,55
10000000,4425,26:14.9,,,900,-81.31,-100.64,-11.63,2.95,55
10000000,4426,26:15.4,,,900,-82.8,-100.91,-10.89,3.32,55
10000000,4427,26:15.9,,,900,-80.3,-99.73,-10.85,3.54,55
10000000,4428,26:16.4,,,900,-80.21,-101.74,-13.69,-0.31,55
10000000,4429,26:16.9,,,900,-82.67,-102.08,-14.09,0.16,55
10000000,4430,26:17.4,,,900,-82.42,-101.86,-11.79,0.35,55
10000000,4431,26:17.9,,,900,-79.77,-99.16,-13.2,5.79,465
10000000,4432,26:18.4,,,900,-79.5,-96.39,-10.7,5.34,465
10000000,4433,26:18.9,,,900,-77.19,-98.14,-12.52,1.89,55
10000000,4434,26:19.4,,,900,-77.07,-97.07,-11.53,1.52,55
10000000,4435,26:19.9,,,900,-77.84,-92.65,-10.88,3.05,55
