FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,75842,25:58.0,,,2200,-78.83,-94.23,-10,7.64,242
10000000,75843,25:58.5,,,2200,-72.5,-93.66,-12.01,3.98,242
10000000,75844,25:59.0,,,2200,-69.58,-93.81,-12.81,7.38,242
10000000,75845,25:59.5,,,2200,-75.77,-93.48,-10.03,7.79,237
10000000,75846,26:00.0,,,2200,-75.11,-96.64,-10.72,4,242
10000000,75847,26:00.5,,,2200,-75.77,-97.72,-12.44,8.09,237
10000000,75848,26:01.0,,,2200,-84.6,-102.88,-12.25,3.04,242
10000000,75849,26:01.5,,,2200,-76.41,-98.92,-11.85,7.01,242
10000000,75850,26:02.0,,,2200,-79.92,-100.36,-12.75,4.45,242
10000000,75851,26:02.5,,,2200,-77.62,-91.88,-9.4,11.41,242
10000000,75852,26:03.0,,,2200,-78.81,-94.08,-12.42,9.04,242
10000000,75853,26:03.5,,,2200,-74.58,-100.34,-13.38,2.09,237
10000000,75854,26:04.0,,,2200,-80.66,-101.24,-12.01,6.97,242
10000000,75855,26:04.5,,,2200,-72.17,-95.46,-12.73,10.28,242
10000000,75856,26:05.0,,,2200,-70.69,-96.74,-14.99,5.13,242
10000000,75857,26:05.5,,,2200,-74.54,-101.3,-16.32,4.82,242
10000000,75858,26:06.0,,,2200,-76.14,-95.68,-10.11,5.25,237
10000000,75859,26:06.5,,,2200,-73.74,-97.91,-13.21,2.35,237
10000000,75860,26:07.0,,,2200,-74.81,-95.77,-11.14,6.54,242
10000000,75861,26:07.5,,,2200,-69.65,-97.03,-14.34,9.07,242
10000000,75862,26:08.0,,,2200,-70.32,-92.44,-13.15,15.05,242
10000000,75863,26:08.5,,,2200,-66.19,-89.25,-12.76,6.6,242
10000000,75864,26:09.0,,,2200,-72.8,-95.34,-14.27,-0.2,237
10000000,75865,26:09.5,,,2200,-79.8,-96.76,-8.83,9.5,237
10000000,75866,26:10.0,,,2200,-76.52,-96.21,-12.76,4.32,242
10000000,75867,26:10.5,,,2200,-74.01,-99.72,-14.56,5.52,242
10000000,75868,26:11.0,,,2200,-76.41,-99.89,-13.79,2.04,242
10000000,75869,26:11.5,,,2200,-74.28,-97.78,-14.14,3.95,242
10000000,75870,26:12.0,,,2200,-78.36,-96.47,-11.65,6.89,242
10000000,75871,26:12.5,,,2200,-71.74,-93.34,-11.52,8.23,242
10000000,75872,26:13.0,,,2200,-71.75,-97.14,-13.84,6.53,242
10000000,75873,26:13.5,,,2200,-77.59,-102.03,-14.75,0.85,242
10000000,75874,26:14.0,,,2200,-76.64,-99.86,-14.6,0.28,242
10000000,75875,26:14.5,,,2200,-79.88,-99.26,-11.32,7.1,242
10000000,75876,26:15.0,,,2200,-79.77,-98.02,-9.28,6.83,242
10000000,75877,26:15.5,,,2200,-77.73,-96.86,-9.51,8.13,242
10000000,75878,26:16.0,,,2200,-79.74,-96.43,-12.13,5.94,242
10000000,75879,26:16.5,,,2200,-79.5,-96.32,-10.86,6.58,242
10000000,75880,26:17.0,,,2200,-80.95,-96.56,-10.32,6.66,242
10000000,75881,26:17.5,,,2200,-75.58,-95.95,-10.55,7.07,242
10000000,75882,26:18.0,,,2200,-73.35,-99.66,-15.38,3.05,242
10000000,75883,26:18.5,,,2200,-75.23,-99.71,-14.62,0.23,237
10000000,75884,26:19.0,,,2200,-75.85,-97.19,-12.55,2.73,237
10000000,75885,26:19.5,,,2200,-75.89,-102.04,-14.88,0.99,242
10000000,75886,26:20.0,,,2200,-81.29,-99.29,-9.69,4.8,242
10000000,75887,26:20.5,,,2200,-75.89,-100.99,-13.98,-0.02,242
10000000,75888,26:21.0,,,2200,-81.49,-104.11,-12.37,-0.38,237
10000000,75889,26:21.5,,,2200,-75.94,-97.65,-12.43,6.5,242
10000000,75890,26:22.0,,,2200,-74.27,-98.01,-13.04,5.77,242
10000000,75891,26:22.5,,,2200,-84.03,-102.31,-11.29,5.62,242
10000000,75892,26:23.0,,,2200,-73.95,-96.17,-12.67,6.52,242
10000000,75893,26:23.5,,,2200,-74.4,-95.44,-11.49,9.5,242
10000000,75894,26:24.0,,,2200,-82.1,-101.79,-12.63,4,242
10000000,75895,26:24.5,,,2200,-81.94,-102.62,-12.38,4.18,237
10000000,75896,26:25.0,,,2200,-77.33,-94.77,-10.5,6.28,242
10000000,75897,26:25.5,,,2200,-75.3,-97.88,-13.58,4.27,237
10000000,75898,26:26.0,,,2200,-83.81,-106.21,-12.75,0.41,242
10000000,75899,26:26.5,,,2200,-77.18,-96.55,-10.68,9.84,242
10000000,75900,26:27.0,,,2200,-75.28,-103.32,-17.35,1.76,242
10000000,75901,26:27.5,,,2200,-79.21,-101.73,-12.56,4.68,242
10000000,75902,26:28.0,,,2200,-79.8,-93,-8.56,12.2,242
10000000,75903,26:28.5,,,2200,-79.81,-100.8,-10.21,4.92,237
10000000,75904,26:29.0,,,2200,-75.09,-100.55,-15.43,-0.27,242
10000000,75905,26:29.5,,,2200,-73.67,-99.36,-13.87,3.23,237
10000000,75906,26:30.0,,,2200,-77.4,-97.23,-11.03,7.48,242
10000000,75907,26:30.5,,,2200,-74.53,-99.65,-15.1,1.86,242
10000000,75908,26:31.0,,,2200,-78.36,-101.69,-13.85,2.76,242
10000000,75909,26:31.5,,,2200,-77.91,-99.09,-11.74,0.54,242
10000000,75910,26:32.0,,,2200,-73.63,-97.58,-14.27,4.48,242
10000000,75911,26:32.5,,,2200,-72.03,-98.79,-15.5,7.8,237
10000000,75912,26:33.0,,,2200,-75.69,-105.77,-20.8,-7.84,237
10000000,75913,26:33.5,,,2200,-72.8,-96.99,-14.42,6.98,237
10000000,75914,26:34.0,,,2200,-77.03,-102.15,-14.58,0.28,237
10000000,75915,26:34.5,,,2200,-74.83,-95.45,-12.1,4.97,242
10000000,75916,26:35.0,,,2200,-79.86,-102.12,-13.18,0.56,237
