FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000000,77180,25:58.3,,,66686,-73.14,-97.83,-13.15,11.83,242
10000000,77181,25:58.7,,,66686,-80.33,-95.24,-11.23,10.73,242
10000000,77182,25:59.3,,,66686,-80.93,-96.56,-11.14,1.94,237
10000000,77183,25:59.8,,,66686,-68.66,-93.27,-13.06,2.11,242
10000000,77184,26:00.2,,,66686,-79.24,-95.65,-9.32,7.08,242
10000000,77185,26:00.7,,,66686,-74.38,-93.76,-12.03,1.7,237
10000000,77186,26:01.3,,,66686,-72.16,-96.09,-14.24,6.72,242
10000000,77187,26:01.8,,,66686,-71.62,-92.86,-10.99,10.3,242
10000000,77188,26:02.3,,,66686,-69.03,-97.1,-16.49,9.45,242
10000000,77189,26:02.7,,,66686,-78.44,-95.15,-13.18,6.69,242
10000000,77190,26:03.2,,,66686,-75.36,-102.06,-15.28,4.5,242
10000000,77191,26:03.8,,,66686,-72.61,-96.39,-10.87,5.29,242
10000000,77192,26:04.3,,,66686,-85.04,-99.42,-9.29,5.52,237
10000000,77193,26:04.8,,,66686,-77.56,-95.19,-9.27,11.03,242
10000000,77194,26:05.2,,,66686,-80.07,-98.97,-11.29,5.36,242
10000000,77195,26:05.7,,,66686,-69.49,-94.33,-13.71,11.25,242
10000000,77196,26:06.3,,,66686,-74.09,-98.44,-13.53,6.54,242
10000000,77197,26:06.8,,,66686,-73.13,-96.24,-12.86,9.43,242
10000000,77198,26:07.3,,,66686,-73.35,-97.55,-14.05,6.19,242
10000000,77199,26:07.7,,,66686,-68.54,-94.59,-15.51,3.39,242
10000000,77200,26:08.2,,,66686,-70.48,-93.01,-11.35,2.26,237
10000000,77201,26:08.7,,,66686,-69.63,-97.28,-16.81,5.86,242
10000000,77202,26:09.3,,,66686,-70.73,-97.07,-16.45,8.45,242
10000000,77203,26:09.8,,,66686,-70.13,-91.86,-13.05,3.86,242
10000000,77204,26:10.2,,,66686,-77.53,-95.34,-10.7,8.75,242
10000000,77205,26:10.7,,,66686,-73.96,-102.59,-16.17,2.97,242
10000000,77206,26:11.3,,,66686,-71.02,-91.42,-11.12,6.48,242
10000000,77207,26:11.8,,,66686,-73.07,-100.89,-16.68,0.01,242
10000000,77208,26:12.3,,,66686,-74.45,-97.57,-14.53,1.84,242
10000000,77209,26:12.7,,,66686,-71.78,-95.52,-13.14,4.72,242
10000000,77210,26:13.2,,,66686,-74.72,-103.43,-19.9,-4.02,242
10000000,77211,26:13.8,,,66686,-76.16,-100.9,-15.25,0.37,242
10000000,77212,26:14.3,,,66686,-84.81,-99.38,-10.95,6.43,242
10000000,77213,26:14.8,,,66686,-84.16,-98.8,-9.55,5.55,242
10000000,77214,26:15.2,,,66686,-79.3,-97.41,-12.06,5.77,242
10000000,77215,26:15.7,,,66686,-76.18,-96.84,-11.08,7.58,242
10000000,77216,26:16.3,,,66686,-80,-96.35,-8.95,7.38,242
10000000,77217,26:16.8,,,66686,-78.48,-96.13,-9.57,6.6,242
10000000,77218,26:17.2,,,66686,-82.15,-96.59,-9.32,8.1,242
10000000,77219,26:17.7,,,66686,-73.69,-96.56,-13.08,7.83,242
10000000,77220,26:18.3,,,66686,-77.52,-100.75,-13.87,1.94,242
10000000,77221,26:18.8,,,66686,-75.31,-97.71,-13.89,1.62,237
10000000,77222,26:19.3,,,66686,-77.1,-96.3,-11.87,0.36,237
10000000,77223,26:19.7,,,66686,-77.82,-103.45,-15.48,1.65,242
10000000,77224,26:20.2,,,66686,-76.45,-95.73,-11.58,5.49,242
10000000,77225,26:20.7,,,66686,-79.79,-107.26,-17.99,-2.74,242
10000000,77226,26:21.3,,,66686,-82.48,-100.62,-12.26,4.25,242
10000000,77227,26:21.8,,,66686,-82.86,-102.11,-10.62,4.72,237
10000000,77228,26:22.3,,,66686,-75.31,-99.86,-13.77,3.27,242
10000000,77229,26:22.7,,,66686,-78.53,-100.26,-10.25,5.61,242
10000000,77230,26:23.2,,,66686,-80.29,-102.72,-14.32,4.33,242
10000000,77231,26:23.8,,,66686,-77.48,-107.65,-20.2,-5.76,237
10000000,77232,26:24.3,,,66686,-75.61,-101.92,-15.18,-0.26,237
10000000,77233,26:24.8,,,66686,-76.93,-98.5,-11.06,7.19,242
10000000,77234,26:25.2,,,66686,-77.55,-96.43,-12.64,9.17,237
10000000,77235,26:25.7,,,66686,-78.82,-101.38,-13.2,-0.75,242
10000000,77236,26:26.3,,,66686,-74.92,-96.04,-11.81,3.81,242
10000000,77237,26:26.8,,,66686,-78.14,-99.4,-11.65,4.24,242
10000000,77238,26:27.3,,,66686,-72.57,-98.09,-14.71,3.15,242
10000000,77239,26:27.7,,,66686,-74.08,-92.54,-10.36,6.39,242
10000000,77240,26:28.2,,,66686,-80.09,-107.03,-16.43,-1.81,242
10000000,77241,26:28.8,,,66686,-77.21,-99.95,-13.86,3.6,237
10000000,77242,26:29.3,,,66686,-77.63,-99.76,-14.54,3.66,237
10000000,77243,26:29.7,,,66686,-70.77,-94.13,-13.32,1.61,237
10000000,77244,26:30.2,,,66686,-73.46,-98.84,-15.98,2.9,237
10000000,77245,26:30.7,,,66686,-76.9,-98.1,-11.84,1.42,237
10000000,77246,26:31.3,,,66686,-82.4,-101.14,-11.1,2.64,242
10000000,77247,26:31.8,,,66686,-72.01,-95.14,-12.12,9.6,242
10000000,77248,26:32.3,,,66686,-74.67,-95.55,-12.74,5.22,237
10000000,77249,26:32.7,,,66686,-82.65,-104.46,-14.31,3.19,237
10000000,77250,26:33.3,,,66686,-74.75,-99.19,-15.33,4.42,237
10000000,77251,26:33.8,,,66686,-74.19,-98.82,-14.92,1.39,237
10000000,77252,26:34.3,,,66686,-78.75,-95.26,-13.06,6.63,242
