FileId,Sequence No,Time,,,EARFCN (0),RSSI (0),R0 RSRP (0),R0 RSRQ (0),R0 RS CINR (0),Cell ID (0)
10000060,467534,33:10.5,,,2200,-73.51,,,,
10000060,467535,33:10.9,,,2200,-75.31,,,,
10000060,467536,33:11.4,,,2200,-75.22,,,,
10000060,467537,33:11.9,,,2200,-74.88,,,,
10000060,467538,33:12.4,,,2200,-75.56,-112.64,-28.63,-16.65,63
10000060,467539,33:12.9,,,2200,-74.38,,,,
10000060,467540,33:13.4,,,2200,-74.83,-104.52,-20.99,-9.02,143
10000060,467541,33:13.9,,,2200,-73.47,-95.21,-12.9,0.52,143
10000060,467542,33:14.4,,,2200,-74.22,-102.38,-19.14,-6.54,143
10000060,467543,33:14.9,,,2200,-73.56,-97.4,-14.58,-1.16,143
10000060,467544,33:15.4,,,2200,-74.52,-102.88,-19.56,-5.49,143
10000060,467545,33:15.9,,,2200,-76.2,-105.18,-20.18,-7.25,389
10000060,467546,33:16.4,,,2200,-77.09,-112.36,-26.5,-14.76,143
10000060,467547,33:16.9,,,2200,-76.36,,,,
10000060,467548,33:17.4,,,2200,-73.95,-110.46,-26.77,-15.32,389
10000060,467549,33:17.9,,,2200,-75.08,-101.63,-18.37,-4.73,143
10000060,467550,33:18.4,,,2200,-75.05,-105.52,-22.18,-9.79,143
10000060,467551,33:18.9,,,2200,-76.64,-114.98,-30.72,-18.92,143
10000060,467552,33:19.4,,,2200,-74.86,-108.36,-24.48,-12.69,143
10000060,467553,33:19.9,,,2200,-73.83,-108.43,-25.49,-12.85,143
10000060,467554,33:20.4,,,2200,-75.95,-104.51,-19.87,-7.24,310
10000060,467555,33:20.9,,,2200,-75.61,-106.34,-22.18,-9.72,310
10000060,467556,33:21.4,,,2200,-75.31,-105.59,-21.42,-9.04,310
10000060,467557,33:21.9,,,2200,-75.83,-105.72,-22.12,-9.59,310
10000060,467558,33:22.4,,,2200,-76.12,-103.79,-19.32,-6.96,310
10000060,467559,33:22.9,,,2200,-75.18,-104.97,-20.99,-9.27,365
10000060,467560,33:23.4,,,2200,-75.58,-104.59,-20.36,-8.23,365
10000060,467561,33:23.9,,,2200,-75.12,-103.66,-20.31,-7.71,310
10000060,467562,33:24.4,,,2200,-75.8,-104.08,-20.26,-8.33,365
10000060,467563,33:24.9,,,2200,-76.44,-104.87,-21,-8.41,310
10000060,467564,33:25.4,,,2200,-75.33,-104.15,-20.31,-7.56,310
10000060,467565,33:25.9,,,2200,-75.77,-108.14,-24.93,-12.59,310
10000060,467566,33:26.4,,,2200,-74.04,-105.59,-22.59,-10.09,365
10000060,467567,33:26.9,,,2200,-75.85,-102.79,-18.84,-6.1,365
10000060,467568,33:27.4,,,2200,-75.11,-104.31,-20.97,-8.3,365
10000060,467569,33:27.9,,,2200,-76.18,-103.92,-20.44,-7.75,310
10000060,467570,33:28.4,,,2200,-75.95,-104.23,-20.91,-6.97,310
10000060,467571,33:28.9,,,2200,-74.15,-105.6,-22.62,-10.54,143
10000060,467572,33:29.4,,,2200,-75.81,-103.52,-20.2,-7.42,310
10000060,467573,33:29.9,,,2200,-75.34,-103.6,-20.71,-7.63,310
10000060,467574,33:30.4,,,2200,-74.97,-104.6,-21.44,-8.84,310
10000060,467575,33:30.9,,,2200,-74.46,-104.49,-21.11,-8.44,310
10000060,467576,33:31.4,,,2200,-74.81,-105.49,-21.89,-9.52,365
10000060,467577,33:31.9,,,2200,-75.8,-105.15,-21.49,-9.12,365
10000060,467578,33:32.4,,,2200,-76.02,-104.99,-21.36,-8.76,310
10000060,467579,33:32.9,,,2200,-75.47,-104.08,-20.41,-8.08,310
10000060,467580,33:33.4,,,2200,-75.7,-104.52,-20.69,-8.42,365
10000060,467581,33:33.9,,,2200,-75.86,-105.83,-22.81,-10.34,365
10000060,467582,33:34.4,,,2200,-75.41,-105.18,-21.74,-9.34,310
